Algorithm,TopicCount,TrainPerplexity,QueryPerplexity
LDA/VB,10,1173.330,1510.663
LDA/VB,25,1005.280,1555.169
LDA/VB,50,865.244,1654.765
LDA/VB,100,736.501,1657.331
LDA/VB,150,677.501,1741.285
LDA/VB,250,627.147,1777.993
CTM/Bohning,10,1345.729,1520.770
CTM/Bohning,25,1455.650,1583.927
CTM/Bohning,50,1456.003,1584.031
CTM/Bohning,100,1456.085,1584.064
CTM/Bohning,150,1456.109,1584.075
CTM/Bohning,250,1456.125,1584.083
CTM/Bouchard,10,1456.082,1584.070
CTM/Bouchard,25,1456.131,1584.086
CTM/Bouchard,50,1456.138,1584.090
CTM/Bouchard,100,1456.142,1584.092
CTM/Bouchard,150,1456.144,1584.093
CTM/Bouchard,250,1456.145,1584.093
