dataset,algor,K,P,TrainPerplexity,QueryPerplexity
Author,STM/Bohning,10,100,2710.485,2805.945
Author,STM/Bohning,10,25,2708.950,2804.061
Author,STM/Bohning,10,50,2630.177,2728.877
Author,STM/Bohning,10,75,2685.800,2782.296
Author,STM/Bohning,100,100,3214.650,3308.277
Author,STM/Bohning,100,25,3316.290,3404.218
Author,STM/Bohning,100,50,3306.510,3396.161
Author,STM/Bohning,100,75,3241.316,3333.514
Author,STM/Bohning,25,100,2730.940,2832.072
Author,STM/Bohning,25,25,2820.636,2917.043
Author,STM/Bohning,25,50,2816.788,2913.613
Author,STM/Bohning,25,75,2721.796,2820.873
Author,STM/Bohning,50,100,2964.996,3063.990
Author,STM/Bohning,50,100,2964.996,3063.990
Author,STM/Bohning,50,25,3083.020,3175.186
Author,STM/Bohning,50,25,3083.020,3175.186
Author,STM/Bohning,50,50,3025.898,3122.864
Author,STM/Bohning,50,50,3025.898,3122.864
Author,STM/Bohning,50,75,2974.466,3072.999
Author,STM/Bohning,50,75,2974.466,3072.999
Author,STM/Bouchard,10,100,2401.122,2610.425
Author,STM/Bouchard,10,25,2446.415,2581.195
Author,STM/Bouchard,10,50,2415.440,2567.774
Author,STM/Bouchard,10,75,2396.302,2574.586
Author,STM/Bouchard,100,100,3047.314,3137.909
Author,STM/Bouchard,100,25,3170.508,3258.220
Author,STM/Bouchard,100,50,3134.269,3222.798
Author,STM/Bouchard,100,75,3093.979,3183.505
Author,STM/Bouchard,25,100,2184.229,2321.913
Author,STM/Bouchard,25,25,2357.811,2470.231
Author,STM/Bouchard,25,50,2303.972,2421.646
Author,STM/Bouchard,25,75,2241.209,2367.695
Author,STM/Bouchard,50,100,2495.539,2604.437
Author,STM/Bouchard,50,100,2495.539,2604.437
Author,STM/Bouchard,50,25,2711.396,2810.150
Author,STM/Bouchard,50,25,2711.396,2810.150
Author,STM/Bouchard,50,50,2650.778,2752.766
Author,STM/Bouchard,50,50,2650.778,2752.766
Author,STM/Bouchard,50,75,2579.052,2683.572
Author,STM/Bouchard,50,75,2579.052,2683.572
AuthorTime,STM/Bohning,10,100,2737.225,2820.108
AuthorTime,STM/Bohning,10,25,2727.851,2811.032
AuthorTime,STM/Bohning,10,50,2648.219,2734.593
AuthorTime,STM/Bohning,10,75,2693.332,2777.872
AuthorTime,STM/Bohning,100,25,3322.163,3398.219
AuthorTime,STM/Bohning,25,100,2724.822,2811.974
AuthorTime,STM/Bohning,25,25,2823.543,2907.742
AuthorTime,STM/Bohning,25,50,2842.658,2926.259
