Algorithm,TopicCount,Segment,Perplexity
LDA/VB,10,Train,1173.330
LDA/VB,25,Train,1005.280
LDA/VB,50,Train,865.244
LDA/VB,100,Train,736.501
LDA/VB,150,Train,677.501
LDA/VB,250,Train,627.147
LDA/VB,10,Query,1510.663
LDA/VB,25,Query,1555.169
LDA/VB,50,Query,1654.765
LDA/VB,100,Query,1657.331
LDA/VB,150,Query,1741.285
LDA/VB,250,Query,1777.993
CTM/Bohning,10,Train,1345.729
CTM/Bohning,25,Train,1455.650
CTM/Bohning,50,Train,1456.003
CTM/Bohning,100,Train,1456.085
CTM/Bohning,150,Train,1456.109
CTM/Bohning,250,Train,1456.125
CTM/Bohning,10,Query,1520.770
CTM/Bohning,25,Query,1583.927
CTM/Bohning,50,Query,1584.031
CTM/Bohning,100,Query,1584.064
CTM/Bohning,150,Query,1584.075
CTM/Bohning,250,Query,1584.083
CTM/Bouchard,10,Train,1456.082
CTM/Bouchard,25,Train,1456.131
CTM/Bouchard,50,Train,1456.138
CTM/Bouchard,100,Train,1456.142
CTM/Bouchard,150,Train,1456.144
CTM/Bouchard,250,Train,1456.145
CTM/Bouchard,10,Query,1584.070
CTM/Bouchard,25,Query,1584.086
CTM/Bouchard,50,Query,1584.090
CTM/Bouchard,100,Query,1584.092
CTM/Bouchard,150,Query,1584.093
CTM/Bouchard,250,Query,1584.093
