"algor","algor_props_alpha","algor_props_beta","algor_props_clustercount","algor_props_distance","algor_props_hypersvaryonquery","algor_props_iterations","algor_props_kmeans_distance","algor_props_kmeans_iterations","algor_props_proposalstdev","algor_props_samplehypers","algor_props_usekmeans","burn_in","cat_groups","chain_count","clusters","command","cross_folds","dataset","dict_size","iters","job","max_word","min_freq","min_word","output_file","sample_lag","seed","start_time","stem","stop","overall","perplexity","run_time_mins"
"MultinomialMixtureCvb","1.1","1.01","","","","","","","","","","","motorcycles=800,religion=800,ms-windows=800,baseball=800","","2","topic","3","20newsclean","30000","400","","","","","20news-momvb-job-0.log","","314159265","2013/03/06 15:09:32","True","True","2043.9818432605234","2043.9818432605234","3.41666666418314"
"MultinomialMixtureCvb","1.1","1.01","","","","","","","","","","","motorcycles=800,religion=800,ms-windows=800,baseball=800","","3","topic","3","20newsclean","30000","400","","","","","20news-momvb-job-1.log","","314159265","2013/03/06 15:09:32","True","True","1800.0205410031042","1800.0205410031042","5.899999998509884"
"MultinomialMixtureCvb","1.1","1.01","","","","","","","","","","","motorcycles=800,religion=800,ms-windows=800,baseball=800","","25","topic","3","20newsclean","30000","400","","","","","20news-momvb-job-10.log","","314159265","2013/03/06 15:09:33","True","True","1851.6741450688603","1851.6741450688603","68.03333333134651"
"MultinomialMixtureCvb","1.1","1.01","","","","","","","","","","","motorcycles=800,religion=800,ms-windows=800,baseball=800","","30","topic","3","20newsclean","30000","400","","","","","20news-momvb-job-11.log","","314159265","2013/03/06 15:09:32","True","True","1968.5234814751573","1968.5234814751573","76.78333333134651"
"MultinomialMixtureCvb","1.1","1.01","","","","","","","","","","","motorcycles=800,religion=800,ms-windows=800,baseball=800","","35","topic","3","20newsclean","30000","400","","","","","20news-momvb-job-12.log","","314159265","2013/03/06 15:09:32","True","True","1933.6039838746829","1933.6039838746829","92.03333333134651"
"MultinomialMixtureCvb","1.1","1.01","","","","","","","","","","","motorcycles=800,religion=800,ms-windows=800,baseball=800","","40","topic","3","20newsclean","30000","400","","","","","20news-momvb-job-13.log","","314159265","2013/03/06 15:10:02","True","True","1961.5961217917984","1961.5961217917984","107.08333333209157"
"MultinomialMixtureCvb","1.1","1.01","","","","","","","","","","","motorcycles=800,religion=800,ms-windows=800,baseball=800","","50","topic","3","20newsclean","30000","400","","","","","20news-momvb-job-14.log","","314159265","2013/03/06 15:10:02","True","True","1899.8510048834594","1899.8510048834594","186.48333333060145"
"MultinomialMixtureCvb","1.1","1.01","","","","","","","","","","","motorcycles=800,religion=800,ms-windows=800,baseball=800","","60","topic","3","20newsclean","30000","400","","","","","20news-momvb-job-15.log","","314159265","2013/03/06 15:10:27","True","True","1894.2053195963654","1894.2053195963654","175.91666666790843"
"MultinomialMixtureCvb","1.1","1.01","","","","","","","","","","","motorcycles=800,religion=800,ms-windows=800,baseball=800","","70","topic","3","20newsclean","30000","400","","","","","20news-momvb-job-16.log","","314159265","2013/03/06 15:11:28","True","True","1957.2131982835208","1957.2131982835208","207.55000000074506"
"MultinomialMixtureCvb","1.1","1.01","","","","","","","","","","","motorcycles=800,religion=800,ms-windows=800,baseball=800","","80","topic","3","20newsclean","30000","400","","","","","20news-momvb-job-17.log","","314159265","2013/03/06 15:12:02","True","True","1922.9716973401796","1922.9716973401796","123.86666666343808"
