Algorithm	TopicCount	Segment	Perplexity
ctm_bohning	6	Train	1243.523
ctm_bohning	6	Query	1474.154
ctm_bohning	8	Train	1237.632
ctm_bohning	8	Query	1476.985
ctm_bohning	10	Train	1345.729
ctm_bohning	10	Query	1520.770
ctm_bohning	12	Train	1434.381
ctm_bohning	12	Query	1574.257
ctm_bohning	14	Train	1448.540
ctm_bohning	14	Query	1582.195
ctm_bohning	16	Train	1450.580
ctm_bohning	16	Query	1583.270
ctm_bohning	18	Train	1453.965
ctm_bohning	18	Query	1583.691
ctm_bohning	20	Train	1455.145
ctm_bohning	20	Query	1583.831
ctm_bohning	22	Train	1455.409
ctm_bohning	22	Query	1583.883
ctm_bohning	24	Train	1455.612
ctm_bohning	24	Query	1583.914
ctm_bohning	26	Train	1455.706
ctm_bohning	26	Query	1583.937
ctm_bohning	28	Train	1455.779
ctm_bohning	28	Query	1583.956
ctm_bohning	30	Train	1455.828
ctm_bohning	30	Query	1583.970
ctm_bohning	32	Train	1455.861
ctm_bohning	32	Query	1583.982
ctm_bohning	34	Train	1455.890
ctm_bohning	34	Query	1583.991
ctm_bohning	36	Train	1455.906
ctm_bohning	36	Query	1583.996
ctm_bohning	38	Train	1455.927
ctm_bohning	38	Query	1584.003
ctm_bohning	40	Train	1455.945
ctm_bohning	40	Query	1584.010
ctm_bohning	42	Train	1455.959
ctm_bohning	42	Query	1584.015
ctm_bohning	44	Train	1455.973
ctm_bohning	44	Query	1584.019
ctm_bohning	46	Train	1455.984
ctm_bohning	46	Query	1584.023
ctm_bohning	48	Train	1455.994
ctm_bohning	48	Query	1584.028
ctm_bohning	50	Train	1456.003
ctm_bohning	50	Query	1584.031
ctm_bohning	52	Train	1456.011
ctm_bohning	52	Query	1584.034
ctm_bohning	54	Train	1456.017
ctm_bohning	54	Query	1584.036
ctm_bohning	56	Train	1456.023
ctm_bohning	56	Query	1584.039
ctm_bohning	58	Train	1456.030
ctm_bohning	58	Query	1584.041
ctm_bohning	60	Train	1456.034
ctm_bohning	60	Query	1584.043
ctm_bouchard	6	Train	1258.310
ctm_bouchard	6	Query	1562.480
ctm_bouchard	8	Train	1269.882
ctm_bouchard	8	Query	1585.273
ctm_bouchard	10	Train	1456.082
ctm_bouchard	10	Query	1584.070
ctm_bouchard	12	Train	1456.101
ctm_bouchard	12	Query	1584.076
ctm_bouchard	14	Train	1456.113
ctm_bouchard	14	Query	1584.080
ctm_bouchard	16	Train	1456.119
ctm_bouchard	16	Query	1584.082
ctm_bouchard	18	Train	1456.123
ctm_bouchard	18	Query	1584.083
ctm_bouchard	20	Train	1456.126
ctm_bouchard	20	Query	1584.085
ctm_bouchard	22	Train	1456.128
ctm_bouchard	22	Query	1584.085
ctm_bouchard	24	Train	1456.130
ctm_bouchard	24	Query	1584.086
ctm_bouchard	26	Train	1456.131
ctm_bouchard	26	Query	1584.087
ctm_bouchard	28	Train	1456.132
ctm_bouchard	28	Query	1584.087
ctm_bouchard	30	Train	1456.133
ctm_bouchard	30	Query	1584.088
ctm_bouchard	32	Train	1456.134
ctm_bouchard	32	Query	1584.088
ctm_bouchard	34	Train	1456.135
ctm_bouchard	34	Query	1584.088
ctm_bouchard	36	Train	1456.135
ctm_bouchard	36	Query	1584.089
ctm_bouchard	38	Train	1456.136
ctm_bouchard	38	Query	1584.089
ctm_bouchard	40	Train	1456.136
ctm_bouchard	40	Query	1584.089
ctm_bouchard	42	Train	1456.137
ctm_bouchard	42	Query	1584.089
ctm_bouchard	44	Train	1456.137
ctm_bouchard	44	Query	1584.090
ctm_bouchard	46	Train	1456.138
ctm_bouchard	46	Query	1584.090
ctm_bouchard	48	Train	1456.138
