"Dataset","Algor","K","P","Segment","Perp"
"ACL","LDA","10","","Train","1876"
"ACL","LDA","10","","Query","1900"
"ACL","LDA","25","","Train","1697"
"ACL","LDA","25","","Query","1727"
"ACL","LDA","50","","Train","1564"
"ACL","LDA","50","","Query","1598"
"ACL","LDA","75","","Train","1514"
"ACL","LDA","75","","Query","1553"
"ACL","LDA","100","","Train","1488"
"ACL","LDA","100","","Query","1529"
"ACL","LDA","125","","Train","1460"
"ACL","LDA","125","","Query","1498"
"ACL","LDA","150","","Train","1456"
"ACL","LDA","150","","Query","1495"
"ACL","CTM (Bohning)","10","","Train","1885.541"
"ACL","CTM (Bohning)","10","","Query","1937.832"
"ACL","CTM (Bohning)","25","","Train","1731.489"
"ACL","CTM (Bohning)","25","","Query","1814.626"
"ACL","CTM (Bohning)","50","","Train","1671.329"
"ACL","CTM (Bohning)","50","","Query","1771.715"
"ACL","CTM (Bohning)","75","","Train","1627.756"
"ACL","CTM (Bohning)","75","","Query","1742.895"
"ACL","CTM (Bohning)","100","","Train","1635.602"
"ACL","CTM (Bohning)","100","","Query","1756.21"
"ACL","CTM (Bouchard)","10","","Train","2126.369"
"ACL","CTM (Bouchard)","10","","Query","2164.597"
"ACL","CTM (Bouchard)","25","","Train","2234.342"
"ACL","CTM (Bouchard)","25","","Query","2065.641"
"ACL","CTM (Bouchard)","50","","Train","2282.29"
"ACL","CTM (Bouchard)","50","","Query","2239.625"
"ACL","CTM (Bouchard)","75","","Train","2315.71"
"ACL","CTM (Bouchard)","75","","Query","2242.402"
"ACL","CTM (Bouchard)","100","","Train","2336.43"
"ACL","CTM (Bouchard)","100","","Query","2308.001"
"ACL","STM (Bouchard)","10","10","Train","2038.17"
"ACL","STM (Bouchard)","10","10","Query","2078.058"
"ACL","STM (Bouchard)","25","10","Train","1884.31"
"ACL","STM (Bouchard)","25","10","Query","1943.687"
"ACL","STM (Bouchard)","50","10","Train","1749.03"
"ACL","STM (Bouchard)","50","10","Query","1855.691"
"ACL","STM (Bouchard)","75","10","Train","1675.34"
"ACL","STM (Bouchard)","75","10","Query","1813.904"
"ACL","STM (Bouchard)","100","10","Train","1617.83"
"ACL","STM (Bouchard)","100","10","Query","1782.794"
"ACL","STM (Bouchard)","10","25","Train","2037.78"
"ACL","STM (Bouchard)","10","25","Query","2078.198"
"ACL","STM (Bouchard)","25","25","Train","1884.93"
"ACL","STM (Bouchard)","25","25","Query","1945.444"
"ACL","STM (Bouchard)","50","25","Train","1749.04"
"ACL","STM (Bouchard)","50","25","Query","1855.957"
"ACL","STM (Bouchard)","75","25","Train","1675.1"
"ACL","STM (Bouchard)","75","25","Query","1813.74"
"ACL","STM (Bouchard)","100","25","Train","1617.44"
"ACL","STM (Bouchard)","100","25","Query","1782.517"
"ACL","STM (Bouchard)","10","50","Train","2038.07"
"ACL","STM (Bouchard)","10","50","Query","2078.701"
"ACL","STM (Bouchard)","25","50","Train","1884.51"
"ACL","STM (Bouchard)","25","50","Query","1943.689"
"ACL","STM (Bouchard)","50","50","Train","1749.11"
"ACL","STM (Bouchard)","50","50","Query","1856.036"
"ACL","STM (Bouchard)","75","50","Train","1675.19"
"ACL","STM (Bouchard)","75","50","Query","1813.87"
"ACL","STM (Bouchard)","100","50","Train","1617.31"
"ACL","STM (Bouchard)","100","50","Query","1782.586"
"ACL","STM (Bouchard)","10","75","Train","2037.91"
"ACL","STM (Bouchard)","10","75","Query","2078.033"
"ACL","STM (Bouchard)","25","75","Train","1887.57"
"ACL","STM (Bouchard)","25","75","Query","1947.15"
"ACL","STM (Bouchard)","50","75","Train","1749.01"
"ACL","STM (Bouchard)","50","75","Query","1855.944"
"ACL","STM (Bouchard)","75","75","Train","1675.18"
"ACL","STM (Bouchard)","75","75","Query","1813.849"
"ACL","STM (Bouchard)","100","75","Train","1617.29"
"ACL","STM (Bouchard)","100","75","Query","1782.544"
"ACL","STM (Bouchard)","10","100","Train","2037.98"
"ACL","STM (Bouchard)","10","100","Query","2078.195"
"ACL","STM (Bouchard)","25","100","Train","1885.14"
"ACL","STM (Bouchard)","25","100","Query","1945.523"
"ACL","STM (Bouchard)","50","100","Train","1749.02"
"ACL","STM (Bouchard)","50","100","Query","1856.153"
