Dataset,Algor,K,P,Tperp,Qperp,
ACL,LDA/VB,10,,1876,1900,
ACL,LDA/VB,25,,1697,1727,
ACL,LDA/VB,50,,1564,1598,
ACL,LDA/VB,75,,1514,1553,
ACL,LDA/VB,100,,1488,1529,
ACL,LDA/VB,125,,1460,1498,
ACL,LDA/VB,150,,1456,1495,
ACL,CTM_bohning,10,-1,1885.541,1937.832,
ACL,CTM_bohning,25,-1,1731.489,1814.626,
ACL,CTM_bohning,50,-1,1671.329,1771.715,
ACL,CTM_bohning,75,-1,1627.756,1742.895,
ACL,CTM_bohning,100,-1,1635.602,1756.21,
ACL,CTM_bouchard,10,-1,2126.369,2164.597,
ACL,CTM_bouchard,25,-1,2234.342,2065.641,
ACL,CTM_bouchard,50,-1,2282.29,2239.625,
ACL,CTM_bouchard,75,-1,2315.71,2242.402,
ACL,CTM_bouchard,100,-1,2336.43,2308.001,
ACL,STM_bouchard,10,10,2038.17,2078.058,
ACL,STM_bouchard,25,10,1884.31,1943.687,
ACL,STM_bouchard,50,10,1749.03,1855.691,
ACL,STM_bouchard,75,10,1675.34,1813.904,
ACL,STM_bouchard,100,10,1617.83,1782.794,
ACL,STM_bouchard,10,25,2037.78,2078.198,
ACL,STM_bouchard,25,25,1884.93,1945.444,
ACL,STM_bouchard,50,25,1749.04,1855.957,
ACL,STM_bouchard,75,25,1675.1,1813.74,
ACL,STM_bouchard,100,25,1617.44,1782.517,
ACL,STM_bouchard,10,50,2038.07,2078.701,
ACL,STM_bouchard,25,50,1884.51,1943.689,
ACL,STM_bouchard,50,50,1749.11,1856.036,
ACL,STM_bouchard,75,50,1675.19,1813.87,
ACL,STM_bouchard,100,50,1617.31,1782.586,
ACL,STM_bouchard,10,75,2037.91,2078.033,
ACL,STM_bouchard,25,75,1887.57,1947.15,
ACL,STM_bouchard,50,75,1749.01,1855.944,
ACL,STM_bouchard,75,75,1675.18,1813.849,
ACL,STM_bouchard,100,75,1617.29,1782.544,
ACL,STM_bouchard,10,100,2037.98,2078.195,
ACL,STM_bouchard,25,100,1885.14,1945.523,
ACL,STM_bouchard,50,100,1749.02,1856.153,
ACL,STM_bouchard,75,100,1675.23,1813.876,
ACL,STM_bouchard,100,100,1617.29,1782.611,
ACL,STM_bohning,10,10,1899,1961.144,
ACL,STM_bohning,25,10,1725,1830.223,
ACL,STM_bohning,50,10,1600,1737.237,
ACL,STM_bohning,75,10,1550,1713.876,
ACL,STM_bohning,100,10,1514,1698.286,
ACL,STM_bohning,10,25,1896,1955.119,
ACL,STM_bohning,25,25,1726,1829.25,
ACL,STM_bohning,50,25,1610,1742.168,
ACL,STM_bohning,75,25,1554,1720.419,
ACL,STM_bohning,100,25,1522,1702.462,
ACL,STM_bohning,10,50,1887,1946.963,
ACL,STM_bohning,25,50,1737,1840.456,
ACL,STM_bohning,50,50,1607,1744.473,
ACL,STM_bohning,75,50,1564,1723.928,
ACL,STM_bohning,100,50,1516,1698.818,
ACL,STM_bohning,10,75,1887,1954.034,
ACL,STM_bohning,25,75,1728,1831.762,
ACL,STM_bohning,50,75,1615,1747.747,
ACL,STM_bohning,75,75,1567,1734.402,
ACL,STM_bohning,100,75,1513,1699.479,
ACL,STM_bohning,10,100,1896,1959.566,
ACL,STM_bohning,25,100,1725,1824.366,
ACL,STM_bohning,50,100,1610,1744.086,
ACL,STM_bohning,75,100,1562,1724.113,
ACL,STM_bohning,100,100,1524,1711.885,
Tweets,LDA/VB,10,-1,1822.238,2519.235,
Tweets,LDA/VB,25,-1,1654.03,2377.025,
Tweets,LDA/VB,50,-1,1632.562,2354.641,
Tweets,LDA/VB,75,-1,1608.995,2351.337,
Tweets,LDA/VB,100,-1,1602.471,2466.672,
Tweets,LDA/VB,125,-1,1594.745,2469.909,
Tweets,LDA/VB,150,-1,1591.582,2359.534,
Tweets,CTM_bouchard,10,-1,1991.37,3216.3,
Tweets,CTM_bouchard,25,-1,2096.53,2864.003,
Tweets,CTM_bouchard,50,-1,2281.99,2828.763,
Tweets,CTM_bouchard,75,-1,2359.53,2828.271,
Tweets,CTM_bouchard,100,-1,2443.57,2872.842,
Tweets,CTM_bouchard,125,-1,2356,2926,
Tweets,CTM_bouchard,150,-1,2498,2931,
Tweets,CTM_bohning,10,-1,1787,2847,
Tweets,CTM_bohning,25,-1,1507,2661,
Tweets,CTM_bohning,50,-1,1373,2620,
Tweets,CTM_bohning,75,-1,1314,2575,
Tweets,CTM_bohning,100,-1,1340,2569,
Tweets,CTM_bohning,125,-1,1329,2565,
Tweets,CTM_bohning,150,-1,1303,2564,
Tweets,STM_bohning,10,10,1336,1390.051,
Tweets,STM_bohning,25,10,1095,1182.048,
Tweets,STM_bohning,50,10,964,1080.179,
Tweets,STM_bohning,75,10,985,1093.738,
Tweets,STM_bohning,100,10,953,1068.642,
Tweets,STM_bohning,125,10,966,1087.646,
Tweets,STM_bohning,150,10,890,1058.663,
Tweets,STM_bohning,10,25,1307,1356.411,
