algor,clusters,dataset,iters,perplexity
LdaColGibbs,2,20newsclean,4000,1811.744019
LdaColGibbs,3,20newsclean,4000,1759.860436
LdaColGibbs,4,20newsclean,4000,1547.601684
LdaColGibbs,5,20newsclean,4000,1516.98288
LdaColGibbs,6,20newsclean,4000,1470.31617
LdaColGibbs,8,20newsclean,4000,1457.180282
LdaColGibbs,10,20newsclean,4000,1417.282791
LdaColGibbs,12,20newsclean,4000,1431.363472
LdaColGibbs,15,20newsclean,4000,1355.309704
LdaColGibbs,20,20newsclean,4000,1307.839554
LdaColGibbs,25,20newsclean,4000,1331.593335
LdaColGibbs,30,20newsclean,4000,1277.118828
LdaColGibbs,35,20newsclean,4000,1214.867822
LdaColGibbs,40,20newsclean,4000,1220.959989
LdaColGibbs,50,20newsclean,4000,1190.680496
LdaColGibbs,60,20newsclean,4000,1133.902546
LdaColGibbs,60,20newsclean,4000,1161.29206
LdaColGibbs,60,20newsclean,4000,1176.645934
LdaColGibbs,70,20newsclean,4000,1121.99391
LdaColGibbs,70,20newsclean,4000,1154.422575
LdaColGibbs,70,20newsclean,4000,1181.036111
LdaColGibbs,80,20newsclean,4000,1135.173791
LdaColGibbs,80,20newsclean,4000,1144.40205
LdaColGibbs,80,20newsclean,4000,1174.292224
LdaColGibbs,90,20newsclean,4000,1107.623381
LdaColGibbs,90,20newsclean,4000,1110.719159
LdaColGibbs,90,20newsclean,4000,1119.301375
LdaColGibbs,100,20newsclean,4000,1087.919647
LdaColGibbs,100,20newsclean,4000,1091.846607
LdaColGibbs,100,20newsclean,4000,1151.533039
LdaColGibbs,125,20newsclean,4000,1109.386603
LdaColGibbs,125,20newsclean,4000,1109.56529
LdaColGibbs,125,20newsclean,4000,1119.832605
LdaColGibbs,150,20newsclean,4000,1070.612255
LdaColGibbs,150,20newsclean,4000,1086.254716
LdaColGibbs,150,20newsclean,4000,1119.941631
LdaColGibbs,175,20newsclean,4000,1050.542614
LdaColGibbs,175,20newsclean,4000,1067.353781
LdaColGibbs,175,20newsclean,4000,1077.220629
LdaColGibbs,200,20newsclean,4000,1015.119866
LdaColGibbs,200,20newsclean,4000,1046.884351
LdaColGibbs,200,20newsclean,4000,1056.175586
LdaColGibbs,250,20newsclean,4000,1059.048485
LdaColGibbs,250,20newsclean,4000,1060.725254
LdaColGibbs,250,20newsclean,4000,1074.457225
LdaColGibbs,2,nips,6000,1928.040437
LdaColGibbs,3,nips,6000,1838.670789
LdaColGibbs,4,nips,6000,1783.661589
LdaColGibbs,5,nips,6000,1760.983415
LdaColGibbs,6,nips,6000,1714.206654
LdaColGibbs,8,nips,6000,1696.867963
LdaColGibbs,10,nips,6000,1654.541955
LdaColGibbs,12,nips,6000,1601.746803
